Orbit Number,z0,Alpha1,Alpha2,Deviation Max
37,0.036,0.6557771491283759,0.34228726751220295,0.0504945448707845
38,0.037,0.6402916479640597,0.32977748474292967,0.050643569757198005
39,0.038,0.6517746497347447,0.34137215086767037,0.04936262057765947
40,0.039,0.6595101491738928,0.34570159577676773,0.048856256072654154
41,0.0400000000000018,0.6507354398384984,0.3441846363424974,0.04856557080574696
42,0.041,0.6676606710354405,0.35394332254829547,0.047345897565321815
43,0.042,0.6531316507023642,0.3483595581457727,0.04720330887557341
44,0.043,0.6673564295218504,0.35230798926178847,0.046211918673146175
45,0.044,0.6488308521682549,0.34834386159145936,0.04638537506746993
46,0.045,0.6510800132806269,0.34841311948323705,0.04573618121488396
47,0.046,0.6438848841548276,0.3394377461031459,0.04537651653087371
48,0.047,0.6358582092821827,0.3456483139053166,0.044950561279795034
49,0.048,0.6341492300646411,0.34684243919639485,0.044401895723826586
50,0.049,0.6428530781320593,0.34772597913884545,0.043617059472442855
51,0.05,0.6483884863573379,0.35170464241474253,0.04263387695721934
52,0.051,0.6292892681569933,0.34805871026489454,0.042730885745783126
53,0.052,0.6586945050330186,0.3635161926031424,0.04116462223948637
54,0.053,0.6571045543163863,0.36357219077129693,0.040740977711213516
55,0.054,0.6439994930616119,0.35346882111544264,0.04048752156833794
56,0.055,0.6704397508614902,0.3739584105871995,0.0389284184199968
57,0.056,0.6494644158808551,0.36802185789561437,0.03903837705966851
58,0.057,0.6558269261176413,0.3693874192006016,0.038161360162940666
59,0.0580000000000001,0.6506360598164986,0.3717176807789864,0.037799088547417176
60,0.0590000000000001,0.6299319545595687,0.35862871375672384,0.037789343448360095
61,0.0600000000000001,0.634554185767416,0.36250579297732144,0.036881882449652
62,0.061,0.615326401694275,0.35333210233185647,0.03695689739980613
63,0.062,0.6258955976674454,0.3601615575042061,0.036111643228641244
64,0.063,0.627010834556442,0.3641147920443918,0.03541967768232693
65,0.064,0.637049626604002,0.3665399314550073,0.034584802594119876
66,0.065,0.6508246765998269,0.37672257063624437,0.033697210113640866
67,0.066,0.6376455057659044,0.37283384886583626,0.03329604922802428
68,0.067,0.6233833201698236,0.36353971286562037,0.033200748341266594
69,0.068,0.6425029771808592,0.3815888530809017,0.03189049052245629
70,0.069,0.6106786846328254,0.3583213272875419,0.03217155853780559
71,0.07,0.6211683087197122,0.3675498429856028,0.0312895244903336
72,0.071,0.6145677357757251,0.36655320482683795,0.030987741314766202
73,0.0720000000000001,0.6230314282742164,0.37215232059792774,0.03014914672593001
74,0.0730000000000001,0.6047857258421583,0.36510509040861533,0.030020143483845928
75,0.0740000000000001,0.6182450039571503,0.3824387025110989,0.029043114686128548
76,0.0750000000000001,0.6272480410907502,0.37923060317317897,0.028284685905364614
77,0.0760000000000001,0.6034757011593617,0.3696576811930447,0.028182993685366
78,0.0770000000000001,0.6260727289275584,0.3863112392713213,0.027135881549820415
79,0.0780000000000001,0.6017602197451168,0.37447843058842845,0.027109088954277674
80,0.0790000000000001,0.6290400354670943,0.38682924587061285,0.026014438010779115
81,0.0800000000000001,0.6199630188192607,0.39063778043021435,0.025564017089148214
82,0.0810000000000001,0.6129508796584935,0.38734691844450514,0.025182755699348372
83,0.0820000000000001,0.6136993238738894,0.38999834867720773,0.0246124940250805
84,0.0830000000000001,0.6106826879464242,0.38843308747460825,0.02410965103106344
85,0.0840000000000001,0.5935733967225364,0.37958596722525306,0.024005636792361406
86,0.0850000000000001,0.607363500174986,0.3884829882936344,0.02326279050409075
87,0.0860000000000001,0.6147116679860578,0.398323061325715,0.022514431676213663
88,0.0870000000000001,0.6009785175711286,0.39042361286738686,0.02227763188005761
